idx,sample,val
0,0.0,0.0
1,6.25e-05,0.00039269907160553524
2,0.000125,0.0007853980826519387
3,0.0001875,0.0011780969725800877
4,0.00025,0.001570795680830879
5,0.0003125,0.001963494146845236
6,0.000375,0.002356192310064121
7,0.0004375,0.002748890109928542
8,0.0005,0.0031415874858795635
9,0.0005625000000000001,0.003534284377358315
10,0.000625,0.003926980723806
11,0.0006875,0.004319676464663909
12,0.00075,0.004712371539373423
13,0.0008125000000000001,0.005105065887376026
14,0.000875,0.0054977594481133134
15,0.0009375,0.005890452161027005
16,0.001,0.006283143965558951
17,0.0010625,0.006675834801151138
18,0.0011250000000000001,0.007068524607245706
19,0.0011875,0.007461213323284948
20,0.00125,0.007853900888711334
21,0.0013125,0.008246587242967505
22,0.001375,0.008639272325496288
23,0.0014375,0.009031956075740713
24,0.0015,0.009424638433144006
25,0.0015625,0.009817319337149617
26,0.0016250000000000001,0.010209998727201216
27,0.0016875,0.0106026765427427
28,0.00175,0.010995352723218221
29,0.0018125,0.011388027208072178
30,0.001875,0.011780699936749225
31,0.0019375,0.012173370848694298
32,0.002,0.012566039883352607
33,0.0020625,0.012958706980169652
34,0.002125,0.01335137207859123
35,0.0021875,0.013744035118063451
36,0.0022500000000000003,0.014136696038032736
37,0.0023125,0.01452935477794584
38,0.002375,0.014922011277249849
39,0.0024375,0.015314665475392198
40,0.0025,0.015707317311820675
41,0.0025625,0.016099966725983433
42,0.002625,0.016492613657328997
43,0.0026875000000000002,0.016885258045306273
44,0.00275,0.017277899829364566
45,0.0028125,0.017670538948953582
46,0.002875,0.018063175343523426
47,0.0029375,0.018455808952524636
48,0.003,0.018848439715408175
49,0.0030625,0.01924106757162545
50,0.003125,0.0196336924606283
51,0.0031875000000000002,0.020026314321869045
52,0.0032500000000000003,0.02041893309480046
53,0.0033125,0.02081154871887578
54,0.003375,0.021204161133548758
55,0.0034375,0.02159677027827362
56,0.0035,0.021989376092505106
57,0.0035625,0.022381978515698467
58,0.003625,0.022774577487309464
59,0.0036875000000000002,0.023167172946794413
60,0.00375,0.02355976483361015
61,0.0038125,0.023952353087214086
62,0.003875,0.02434493764706417
63,0.0039375,0.024737518452618935
64,0.004,0.02513009544333748
65,0.0040625,0.025522668558679504
66,0.004125,0.025915237738105296
67,0.0041875,0.02630780292107576
68,0.00425,0.026700364047052408
69,0.0043125,0.02709292105549738
70,0.004375,0.02748547388587346
71,0.0044375000000000005,0.02787802247764406
72,0.0045000000000000005,0.028270566770273255
73,0.0045625,0.028663106703225777
74,0.004625,0.029055642215967056
75,0.0046875,0.02944817324796316
76,0.00475,0.029840699738680886
77,0.0048125,0.03023322162758771
78,0.004875,0.030625738854151822
79,0.0049375,0.031018251357842138
80,0.005,0.03141075907812829
81,0.0050625,0.03180326195448067
82,0.005125,0.03219575992637039
83,0.0051875,0.03258825293326932
84,0.00525,0.03298074091465013
85,0.0053125,0.033373223809986224
86,0.0053750000000000004,0.03376570155875181
87,0.0054375000000000005,0.0341581741004219
88,0.0055,0.034550641374472266
89,0.0055625,0.03494310332037955
90,0.005625,0.035335559877621193
91,0.0056875,0.035728010985675435
92,0.00575,0.0361204565840214
93,0.0058125,0.03651289661213904
94,0.005875,0.03690533100950918
95,0.0059375,0.037297759715613485
96,0.006,0.03769018266993454
97,0.0060625,0.03808259981195578
98,0.006125,0.038475011081161546
99,0.0061875,0.03886741641703711
100,0.00625,0.03925981575906861
101,0.0063125,0.03965220904674316
102,0.0063750000000000005,0.04004459621954876
103,0.0064375000000000005,0.04043697721697441
104,0.006500000000000001,0.04082935197851
105,0.0065625,0.041221720443646415
106,0.006625,0.04161408255187552
107,0.0066875,0.042006438242690146
108,0.00675,0.0423987874555841
109,0.0068125,0.04279113013005222
110,0.006875,0.04318346620559032
111,0.0069375,0.04357579562169526
112,0.007,0.0439681183178649
113,0.0070625,0.044360434233598166
114,0.007125,0.044752743308395
115,0.0071875,0.04514504548175642
116,0.00725,0.0455373406931845
117,0.0073125,0.04592962888218238
118,0.0073750000000000005,0.046321909988254306
119,0.0074375000000000005,0.04671418395090559
120,0.0075,0.04710645070964266
121,0.0075625,0.04749871020397305
122,0.007625,0.04789096237340543
123,0.0076875,0.048283207157449576
124,0.00775,0.04867544449561641
125,0.0078125,0.049067674327418015
126,0.007875,0.04945989659236761
127,0.0079375,0.049852111229979595
128,0.008,0.050244318179769556
129,0.0080625,0.05063651738125424
130,0.008125,0.05102870877395161
131,0.0081875,0.05142089229738081
132,0.00825,0.051813067891062235
133,0.0083125,0.052205235494517464
134,0.008375,0.05259739504726932
135,0.0084375,0.05298954648884189
136,0.0085,0.053381689758760474
137,0.0085625,0.05377382479655166
138,0.008625,0.05416595154174331
139,0.0086875,0.05455806993386453
140,0.00875,0.05495017991244575
141,0.008812500000000001,0.055342281417018684
142,0.008875000000000001,0.05573437438711634
143,0.008937500000000001,0.05612645876227307
144,0.009000000000000001,0.056518534482024534
145,0.0090625,0.05691060148590771
146,0.009125,0.057302659713460956
147,0.0091875,0.057694709104223973
148,0.00925,0.05808674959773781
149,0.0093125,0.05847878113354489
150,0.009375,0.05887080365118903
151,0.0094375,0.05926281709021543
152,0.0095,0.0596548213901707
153,0.0095625,0.060046816490602825
154,0.009625,0.06043880233106127
155,0.0096875,0.06083077885109687
156,0.00975,0.061222745990261916
157,0.0098125,0.06161470368811016
158,0.009875,0.062006651884196795
159,0.0099375,0.062398590518078494
160,0.01,0.06279051952931337
161,0.0100625,0.06318243885746107
162,0.010125,0.06357434844208269
163,0.0101875,0.06396624822274087
